Series ID,Year,Value
CUSR0000SA0,1/31/2010,217.488
CUSR0000SA0,2/28/2010,217.281
CUSR0000SA0,3/31/2010,217.353
CUSR0000SA0,4/30/2010,217.403
CUSR0000SA0,5/31/2010,217.29
CUSR0000SA0,6/30/2010,217.199
CUSR0000SA0,7/31/2010,217.605
CUSR0000SA0,8/31/2010,217.923
CUSR0000SA0,9/30/2010,218.275
CUSR0000SA0,10/31/2010,219.035
CUSR0000SA0,11/30/2010,219.59
CUSR0000SA0,12/31/2010,220.472
CUSR0000SA0,1/31/2011,221.187
CUSR0000SA0,2/28/2011,221.898
CUSR0000SA0,3/31/2011,223.046
CUSR0000SA0,4/30/2011,224.093
CUSR0000SA0,5/31/2011,224.806
CUSR0000SA0,6/30/2011,224.806
CUSR0000SA0,7/31/2011,225.395
CUSR0000SA0,8/31/2011,226.106
CUSR0000SA0,9/30/2011,226.597
CUSR0000SA0,10/31/2011,226.75
CUSR0000SA0,11/30/2011,227.169
CUSR0000SA0,12/31/2011,227.223
CUSR0000SA0,1/31/2012,227.842
CUSR0000SA0,2/29/2012,228.329
CUSR0000SA0,3/31/2012,228.807
CUSR0000SA0,4/30/2012,229.187
CUSR0000SA0,5/31/2012,228.713
CUSR0000SA0,6/30/2012,228.524
CUSR0000SA0,7/31/2012,228.59
CUSR0000SA0,8/31/2012,229.918
CUSR0000SA0,9/30/2012,231.015
CUSR0000SA0,10/31/2012,231.638
CUSR0000SA0,11/30/2012,231.249
CUSR0000SA0,12/31/2012,231.221
CUSR0000SA0,1/31/2013,231.679
CUSR0000SA0,2/28/2013,232.937
CUSR0000SA0,3/31/2013,232.282
CUSR0000SA0,4/30/2013,231.797
CUSR0000SA0,5/31/2013,231.893
CUSR0000SA0,6/30/2013,232.445
CUSR0000SA0,7/31/2013,232.9
CUSR0000SA0,8/31/2013,233.456
CUSR0000SA0,9/30/2013,233.544
CUSR0000SA0,10/31/2013,233.669
CUSR0000SA0,11/30/2013,234.1
CUSR0000SA0,12/31/2013,234.719
CUSR0000SA0,1/31/2014,235.288
CUSR0000SA0,2/28/2014,235.547
CUSR0000SA0,3/31/2014,236.028
CUSR0000SA0,4/30/2014,236.468
CUSR0000SA0,5/31/2014,236.918
CUSR0000SA0,6/30/2014,237.231
CUSR0000SA0,7/31/2014,237.498
CUSR0000SA0,8/31/2014,237.46
CUSR0000SA0,9/30/2014,237.477
CUSR0000SA0,10/31/2014,237.43
CUSR0000SA0,11/30/2014,236.983
CUSR0000SA0,12/31/2014,236.252
CUSR0000SA0,1/31/2015,234.747
CUSR0000SA0,2/28/2015,235.342
CUSR0000SA0,3/31/2015,235.976
CUSR0000SA0,4/30/2015,236.222
CUSR0000SA0,5/31/2015,237.001
CUSR0000SA0,6/30/2015,237.657
CUSR0000SA0,7/31/2015,238.034
CUSR0000SA0,8/31/2015,238.033
CUSR0000SA0,9/30/2015,237.498
CUSR0000SA0,10/31/2015,237.733
CUSR0000SA0,11/30/2015,238.017
CUSR0000SA0,12/31/2015,237.761
CUSR0000SA0,1/31/2016,237.652
CUSR0000SA0,2/29/2016,237.336
CUSR0000SA0,3/31/2016,238.08
CUSR0000SA0,4/30/2016,238.992
CUSR0000SA0,5/31/2016,239.557
CUSR0000SA0,6/30/2016,240.222
CUSR0000SA0,7/31/2016,240.101
CUSR0000SA0,8/31/2016,240.545
CUSR0000SA0,9/30/2016,241.176
CUSR0000SA0,10/31/2016,241.741
CUSR0000SA0,11/30/2016,242.026
CUSR0000SA0,12/31/2016,242.637
CUSR0000SA0,1/31/2017,243.618
CUSR0000SA0,2/28/2017,244.006
CUSR0000SA0,3/31/2017,243.892
CUSR0000SA0,4/30/2017,244.193
CUSR0000SA0,5/31/2017,244.004
CUSR0000SA0,6/30/2017,244.163
CUSR0000SA0,7/31/2017,244.243
CUSR0000SA0,8/31/2017,245.183
CUSR0000SA0,9/30/2017,246.435
CUSR0000SA0,10/31/2017,246.626
CUSR0000SA0,11/30/2017,247.284
CUSR0000SA0,12/31/2017,247.805
CUSR0000SA0,1/31/2018,248.859
CUSR0000SA0,2/28/2018,249.529
CUSR0000SA0,3/31/2018,249.577
CUSR0000SA0,4/30/2018,250.227
CUSR0000SA0,5/31/2018,250.792
CUSR0000SA0,6/30/2018,251.018
CUSR0000SA0,7/31/2018,251.214
CUSR0000SA0,8/31/2018,251.663
CUSR0000SA0,9/30/2018,252.182
CUSR0000SA0,10/31/2018,252.772
CUSR0000SA0,11/30/2018,252.594
CUSR0000SA0,12/31/2018,252.767
CUSR0000SA0,1/31/2019,252.561
CUSR0000SA0,2/28/2019,253.319
CUSR0000SA0,3/31/2019,254.277
CUSR0000SA0,4/30/2019,255.233
CUSR0000SA0,5/31/2019,255.296
CUSR0000SA0,6/30/2019,255.213
CUSR0000SA0,7/31/2019,255.802
CUSR0000SA0,8/31/2019,256.036
CUSR0000SA0,9/30/2019,256.43
CUSR0000SA0,10/31/2019,257.155
CUSR0000SA0,11/30/2019,257.879
CUSR0000SA0,12/31/2019,258.63
CUSR0000SA0,1/31/2020,258.906
CUSR0000SA0,2/29/2020,259.246
CUSR0000SA0,3/31/2020,258.15
CUSR0000SA0,4/30/2020,256.126
CUSR0000SA0,5/31/2020,255.848
CUSR0000SA0,6/30/2020,257.004
CUSR0000SA0,7/31/2020,258.408
CUSR0000SA0,8/31/2020,259.366
CUSR0000SA0,9/30/2020,259.951
CUSR0000SA0,10/31/2020,260.249
CUSR0000SA0,11/30/2020,260.895
CUSR0000SA0,12/31/2020,262.005
CUSR0000SA0,1/31/2021,262.518
CUSR0000SA0,2/28/2021,263.583
CUSR0000SA0,3/31/2021,264.91
CUSR0000SA0,4/30/2021,266.752
CUSR0000SA0,5/31/2021,268.452
CUSR0000SA0,6/30/2021,270.664
CUSR0000SA0,7/31/2021,271.994
CUSR0000SA0,8/31/2021,272.789
CUSR0000SA0,9/30/2021,273.887
CUSR0000SA0,10/31/2021,276.434
CUSR0000SA0,11/30/2021,278.799
CUSR0000SA0,12/31/2021,280.808
CUSR0000SA0,1/31/2022,282.39
CUSR0000SA0,2/28/2022,284.535
CUSR0000SA0,3/31/2022,287.553
CUSR0000SA0,4/30/2022,288.764
CUSR0000SA0,5/31/2022,291.359
CUSR0000SA0,6/30/2022,294.996
CUSR0000SA0,7/31/2022,294.977
CUSR0000SA0,8/31/2022,295.209
CUSR0000SA0,9/30/2022,296.341
CUSR0000SA0,10/31/2022,297.863
CUSR0000SA0,11/30/2022,298.648
CUSR0000SA0,12/31/2022,298.812
