Code,Indicator,Year,Index,% Change
C304,Excise tax on wine,1991,5.23,0
C304,Excise tax on wine,1992,5.12,-2.1
C304,Excise tax on wine,1993,5,-2.4
C304,Excise tax on wine,1994,4.89,-2.2
C304,Excise tax on wine,1995,4.79,-2.1
C304,Excise tax on wine,1996,4.71,-1.7
C304,Excise tax on wine,1997,4.63,-1.7
C304,Excise tax on wine,1998,4.58,-1.1
C304,Excise tax on wine,1999,4.51,-1.5
C304,Excise tax on wine,2000,4.41,-2.2
C304,Excise tax on wine,2001,4.31,-2.3
C304,Excise tax on wine,2002,4.25,-1.4
C304,Excise tax on wine,2003,4.17,-1.9
C304,Excise tax on wine,2004,4.12,-1.2
C304,Excise tax on wine,2005,3.99,-3.2
C304,Excise tax on wine,2006,3.94,-1.3
C304,Excise tax on wine,2007,3.84,-2.5
C304,Excise tax on wine,2008,3.77,-1.8
C304,Excise tax on wine,2009,3.74,-0.8
C304,Excise tax on wine,2010,3.67,-1.9
C304,Excise tax on wine,2011,3.6,-1.9
C304,Excise tax on wine,2012,3.53,-2
C304,Excise tax on wine,2013,3.47,-1.7
C304,Excise tax on wine,2014,3.47,0
C304,Excise tax on wine,2015,3.44,-0.9
C304,Excise tax on wine,2016,3.41,-0.9
C304,Excise tax on wine,2017,3.35,-1.8
C304,Excise tax on wine,2018,2.35,-29.9
C304,Excise tax on wine,2019,2.31,-1.7
C304,Excise tax on wine,2020,2.28,-1.3
C304,Excise tax on wine,2021,2.19,-4
C304,Excise tax on wine,2022,2.05,-6.4
C304,Excise tax on wine,2023,2,-2.4
C304,Excise tax on wine,2024,1.95,-2.5
C304,Excise tax on wine,2025,1.89,-3.1
C304,Excise tax on wine,2026,1.84,-2.7
C304,Excise tax on wine,2027,1.78,-3.3
C304,Excise tax on wine,2028,1.72,-3.4
C304,Excise tax on wine,2029,1.66,-3.5
C304,Excise tax on wine,2030,1.61,-3
C105,Federal expenditure on disability benefits,1980,39.21,0
C105,Federal expenditure on disability benefits,1981,39.91,1.8
C105,Federal expenditure on disability benefits,1982,37.89,-5.1
C105,Federal expenditure on disability benefits,1983,36.87,-2.7
C105,Federal expenditure on disability benefits,1984,36.34,-1.5
C105,Federal expenditure on disability benefits,1985,37.06,2
C105,Federal expenditure on disability benefits,1986,38.28,3.3
C105,Federal expenditure on disability benefits,1987,38.61,0.9
C105,Federal expenditure on disability benefits,1988,39.44,2.2
C105,Federal expenditure on disability benefits,1989,40.02,1.5
C105,Federal expenditure on disability benefits,1990,41.82,4.5
C105,Federal expenditure on disability benefits,1991,45.12,7.9
C105,Federal expenditure on disability benefits,1992,49.58,9.9
C105,Federal expenditure on disability benefits,1993,53.9,8.7
C105,Federal expenditure on disability benefits,1994,57.53,6.7
C105,Federal expenditure on disability benefits,1995,61.1,6.2
C105,Federal expenditure on disability benefits,1996,64.81,6.1
C105,Federal expenditure on disability benefits,1997,65.85,1.6
C105,Federal expenditure on disability benefits,1998,68.71,4.3
