symbol,Name,Currency,SIC Code,NAICS Code,Business Description,Industry,Country,State,City,CIK Code,Company Website,Enterprise Value (in $),Revenue (in $),COGS (in $),Gross Profit (in $,EBITDA (in $),Operating Profit (in $),Other Expenses (in $),Operating Expenses (in $),Net Income (in $),Cash (in $),Accounts Receivables (in $),Inventories (in $),Other Current Assets (in $),Total Current Assets (in $),Fixed Assets (in $),PPE (in $),Total Assets (in $),Accounts Payable (in $),Short Term Debt (in $),Long Term Debt (in $),Other Current Liabilities (in $),Total Current Liabilities (in $),Other Liabilities (in $),Total Liabilities (in $),Net Worth (in $),Total Liabilities & Equity (in $),,Revenue (in %),COGS (in %),Gross Profit (in %),EBITDA (in %),Operating Profit (in %),Other Expenses (in %),Operating Expenses (in %),Net Income (in %),Cash (in %),Accounts Receivables (in %),Inventories (in %),Other Current Assets (in %),Total Current Assets (in %),Fixed Assets (in %),PPE (in %),Total Assets (in %),Accounts Payable (in %),Short Term Debt (in %),Long Term Debt (in %),Other Current Liabilities (in %),Total Current Liabilities (in %),Other Liabilities (in %),Total Liabilities (in %),Net Worth (in %),Total Liabilities & Equity (in %)
DISH,DISH Network Corporation,USD,4841,-,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States.","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",United States,CO,Englewood,CIK_0001001082,www.dish.com,1.38606,0,0,0,0,-0.23468,-0.0087,0.23468,-0.39705,0.20974,0,0,0,0.31093,0,0,0.31093,0.07457,0,0,0,1.16714,0,1.16714,-0.85621,0.31093,,-,-,-,-,-,-,-,-,0.674556974,0,0,0,1,0,0,1,0.2398289,0,0,0,3.753706622,0,3.753706622,-2.753706622,1
OMCL,"Omnicell, Inc.",USD,3559,-,"Omnicell, Inc., together with its subsidiaries, provides medication management solutions and adherence tools for healthcare systems and pharmacies the United States and internationally.",Power Boiler and Heat Exchanger Manufacturing,United States,CA,Santa Clara,CIK_0000926326,www.omnicell.com,1876.52162,1147.112,647.183,499.929,55.54,-31.779,-3.782,1178.891,-20.371,446.84,284.202,116.144,38.618,913.751,0,132.324,2221.575,49.92,0,568.887,180.685,369.361,63.046,1034.139,1187.436,2221.575,,1,0.564184665,0.435815335,0.048417243,-0.027703485,-0.003296975,1.027703485,-0.01775851,0.201136581,0.127928159,0.052280027,0.017383163,0.411307743,0,0.059563148,1,0.022470545,0,0.256073731,0.081331938,0.166260873,0.028378965,0.465498126,0.534501874,1
LIAN,LianBio,USD,2836,-,"LianBio, a biopharmaceutical company, engages in developing and commercializing medicines for cardiovascular, oncology, opthalmology, and inflammatory diseases in China and other Asian countries.",Biological Product (except Diagnostic) Manufacturing ,United States,NJ,Princeton,CIK_0001831283,www.lianbio.com,267.43499,0,0,0,-105.259,-106.559,9.502,106.559,-87.981,103.457,0,0,1.858,257.805,0,5.008,262.902,6.229,0,0,1.623,25.627,0.213,26.79,236.112,262.902,,-,-,-,-,-,-,-,-,0.393519258,0,0,0.007067272,0.980612548,0,0.019048923,1,0.023693239,0,0,0.006173403,0.097477387,0.000810188,0.101901089,0.898098911,1
AZYO,"Aziyo Biologics, Inc.",USD,2836,-,,Biological Product (except Diagnostic) Manufacturing ,United States,MD,Silver Spring,CIK_0001708527,www.aziyo.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IDRA,"Idera Pharmaceuticals, Inc.",USD,2836,-,"Aceragen, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of drugs for rare pulmonary and rheumatic diseases in the United States.",Biological Product (except Diagnostic) Manufacturing ,United States,PA,Exton,CIK_0000861838,www.aceragen.com,0,7.332,15.397,-8.065,-22.786,-22.8,-3.413,30.132,-41.049,2.118,2.203,0,0,5.636,0,0.475,78.492,3.409,0,0,6.3,17.863,3.01,21.144,57.348,78.492,,1,2.099972722,-1.099972722,-3.107746863,-3.109656301,-0.465493726,4.109656301,-5.598608838,0.026983642,0.028066555,0,0,0.071803496,0,0.006051572,1,0.043431178,0,0,0.080262957,0.227577333,0.038347857,0.269377771,0.730622229,1
SBBP,Strongbridge Biopharma plc,USD,2836,-,"As of October 5, 2021, Strongbridge Biopharma plc was acquired by Xeris Pharmaceuticals, Inc. Strongbridge Biopharma plc, a commercial-stage biopharmaceutical company, focuses on the development and commercialization of therapies for rare diseases with unmet needs in the United States.",Biological Product (except Diagnostic) Manufacturing ,United States,PA,Trevose,CIK_0001634432,www.strongbridgebio.com,0,38.145,1.819,36.326,-36.434,-43.026,2.738,81.171,-43.591,55.27,5.325,1.173,0,63.029,0,0.595,89.025,0.329,0,14.082,5.222,26.365,7.472,48.332,40.693,89.025,,1,0.04768646,0.95231354,-0.955144842,-1.127959103,0.071778739,2.127959103,-1.142771005,0.620836844,0.059814659,0.013176074,0,0.707992137,0,0.006683516,1,0.003695591,0,0.158180286,0.05865768,0.296152766,0.08393148,0.542903679,0.457096321,1
CRVS,"Corvus Pharmaceuticals, Inc.",USD,2836,-,"Corvus Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of immuno-oncology therapies.",Biological Product (except Diagnostic) Manufacturing ,United States,CA,Burlingame,CIK_0001626971,www.corvuspharma.com,55.8299,0,0,0,-23.001,-23.218,0,23.218,-30.192,20.105,0.011,0,0.363,33.094,0,1.687,51.942,1.404,0,0,0.262,7.299,0,7.653,44.289,51.942,,-,-,-,-,-,-,-,-,0.387066343,0.000211775,0,0.006988564,0.637133726,0,0.032478534,1,0.027030149,0,0,0.005044088,0.140522121,0,0.147337415,0.852662585,1
VTC,Vanguard Total Corporate Bond ETF,USD,3663,-,"VTC Telecommunications Joint Stock Company engages in the designing, manufacturing, and trading in various types of electronic and telecommunications equipment for operators in Vietnam.",Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Vietnam,0,Ho Chi Minh City,0,www.vtctelecom.com.vn,150256.8871,0,0,0,0,0,0,0,0,2944.47624,64754.9993,97283.63782,11225.9315,203219.9251,0,19070.99306,228125.3066,42544.90095,0,2646.75483,16321.29866,160923.8511,0,163570.6059,64554.70068,228125.3066,,-,-,-,-,-,-,-,-,0.012907276,0.28385715,0.42644825,0.049209497,0.890825872,0,0.083598761,1,0.186497945,0,0.011602197,0.071545323,0.705418673,0,0.71702087,0.28297913,1
IHRT,"iHeartMedia, Inc.",USD,4832,-,"iHeartMedia, Inc. operates as a media and entertainment company worldwide.",Radio Broadcasting Stations ,United States,TX,San Antonio,CIK_0001400891,www.iheartmedia.com,6260.4772,3810.132,1492.379,2317.753,696.068,261.52,-0.378,3548.612,-1035.902,213.479,983.927,0,14.901,1348.999,0,1294.789,6877.518,179.707,0,5224.831,171.973,742.66,541.295,7284.339,-406.821,6877.518,,1,0.391686955,0.608313045,0.182688684,0.068638042,-9.92092E-05,0.931361958,-0.271880869,0.031040122,0.143064257,0,0.002166625,0.196146197,0,0.188263993,1,0.02612963,0,0.759697176,0.025005096,0.107983723,0.078704992,1.059152299,-0.059152299,1
ERII,"Energy Recovery, Inc.",USD,3559,-,"Energy Recovery, Inc., together with its subsidiaries, designs, manufactures, and sells various solutions for the seawater reverse osmosis desalination and industrial wastewater treatment industries worldwide.",Power Boiler and Heat Exchanger Manufacturing,United States,CA,San Leandro,CIK_0001421517,www.energyrecovery.com,972.60086,128.349,41.27,87.079,23.152,19.05,-0.101,109.299,21.504,51.44,23.337,33.888,0,146.268,0,30.639,222.661,1.809,0,0,2.411,16.418,0.222,28.632,194.029,222.661,,1,0.321545162,0.678454838,0.180383174,0.148423439,-0.000786917,0.851576561,0.167543183,0.231023843,0.104809554,0.15219549,0,0.656908933,0,0.137603801,1,0.008124458,0,0,0.01082812,0.073735409,0.000997031,0.128590099,0.871409901,1
SLM,SLM Corporation,USD,6141,-,"SLM Corporation, through its subsidiaries, originates and services private education loans to students and their families to finance the cost of their education in the United States.",Credit Card Issuing ,United States,DE,Newark,CIK_0001032033,www.salliemae.com,0,1463.866,0,1463.866,-,779.248,0,684.618,581.391,3548.225,20899.181,0,186.148,26556.041,0,132.622,29273.219,21550.745,0,5515.532,0,21550.996,407.467,27473.995,1799.224,29273.219,,1,0,1,-,0.532321948,0,0.467678052,0.397161352,0.121210619,0.713935184,0,0.006358986,0.907178708,0,0.004530489,1,0.736193208,0,0.18841563,0,0.736201782,0.013919446,0.938536859,0.061463141,1
SHYF,"The Shyft Group, Inc.",USD,3711,-,"The Shyft Group, Inc. manufactures and assembles specialty vehicles for the commercial vehicle and recreational vehicle industries in the United States and internationally.",Automobile and Light Duty Motor Vehicle Manufacturing ,United States,MI,Novi,CIK_0000743238,www.theshyftgroup.com,543.25883,872.198,721.84,150.358,23.706,6.753,0.47,865.445,6.496,9.876,140.005,115.2,5.35,299.716,0,127.106,535.461,99.299,0,54.797,20.147,175.945,10.105,279.722,255.739,535.461,,1,0.827610244,0.172389756,0.027179608,0.007742508,0.000538868,0.992257492,0.00744785,0.01844392,0.261466288,0.215141719,0.009991391,0.559734509,0,0.237376765,1,0.185445812,0,0.102336118,0.037625523,0.328586022,0.018871589,0.522394722,0.477605278,1
NUVA,"NuVasive, Inc.",USD,3841,-,"Noratis AG, a real estate company, invests in, develops, manages, and sells residential property portfolios in Germany.","Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",United States,CA,San Diego,CIK_0001142596,www.nuvasive.com,412.30618,50.968,32.165,18.803,9.579,9.423,7.542,41.545,-3.099,11.117,1.463,441.722,8.11,463.426,0,0.912,482.724,1.4,0,376.544,3.785,21.488,1.256,399.288,83.436,482.724,,1,0.631082248,0.368917752,0.187941453,0.184880709,0.1479752,0.815119291,-0.060802857,0.023029723,0.003030717,0.915061194,0.016800491,0.960022704,0,0.001889278,1,0.002900208,0,0.78003994,0.007840919,0.044514049,0.002601901,0.82715589,0.17284411,1
CMPS,COMPASS Pathways plc,USD,2834,-,COMPASS Pathways plc operates as a mental health care company primarily in the United Kingdom and the United States.,Pharmaceutical Preparation Manufacturing ,United Kingdom,0,London,CIK_0001816590,compasspathways.com,326.08868,0,0,0,-116.302,-116.742,0,116.742,-116.858,248.038,0,0,11.577,284.806,0,4.474,299.033,4.248,0,28.431,1.177,15.35,0,45.778,253.255,299.033,,-,-,-,-,-,-,-,-,0.829466982,0,0,0.038714791,0.952423311,0,0.014961559,1,0.01420579,0,0.095076463,0.00393602,0.051332127,0,0.153086783,0.846913217,1
GMGI,"Golden Matrix Group, Inc.",USD,7372,-,"Golden Matrix Group, Inc. provides enterprise software-as-a-service solutions for online casino and sports betting operators.",Manufacturing and Reproducing Magnetic and Optical Media ,United States,NV,Las Vegas,CIK_0001437925,www.goldenmatrix.com,71.09877,44.17405,34.30518,9.86887,-0.04493,-0.52625,0,44.7003,-1.17275,16.1421,4.24754,1.52186,0.05472,22.08861,0,0.14445,34.98987,2.41726,0,0,1.57197,4.08935,0,4.08935,30.90052,34.98987,,1,0.776591234,0.223408766,-0.001017113,-0.011913103,0,1.011913103,-0.026548392,0.461336381,0.12139342,0.043494303,0.001563881,0.631285855,0,0.004128338,1,0.069084566,0,0,0.044926432,0.116872398,0,0.116872398,0.883127602,1
PAYX,"Paychex, Inc.",USD,8721,-,"Paychex, Inc. provides integrated human capital management solutions for human resources (HR), payroll, benefits, and insurance services for small to medium-sized businesses in the United States, Europe, and India.",Offices of Certified Public Accountants ,United States,NY,Rochester,CIK_0000723531,www.paychex.com,42326.37769,5154.5,1467,3687.5,2282.1,2107.7,11,3046.8,1629.7,1363.1,1627.1,0,5777.3,8923.7,0,477,12052.1,92.3,0,798.4,6178.2,7254.4,421.4,8527.7,3524.4,12052.1,,1,0.284605684,0.715394316,0.442739354,0.40890484,0.002134058,0.59109516,0.316170337,0.113100621,0.135005518,0,0.479360443,0.74042698,0,0.039578165,1,0.007658416,0,0.066245717,0.512624356,0.601919997,0.034964861,0.707569635,0.292430365,1
ALACR,Alberton Acquisition Corporation RT,USD,4813,-,"Acropolis Telecom Société Anonyme, a cloud company that provides cloud, networks, and telecoms services in France.",Wired Telecommunications Carriers ,France,0,Paris,0,www.acropolistelecom.net,0,6.63914,6.58527,0.05387,0.06195,-0.02429,0,6.66343,-0.36414,0.4767,0.32348,0.04511,0.00519,1.27087,0,0.19966,1.60284,0.74323,0,0.01673,0.10787,1.24369,0.0165,1.27692,0.32592,1.60284,,1,0.991885997,0.008114003,0.009331028,-0.003658606,0,1.003658606,-0.054847465,0.297409598,0.201816775,0.028143795,0.003238003,0.792886377,0,0.124566395,1,0.46369569,0,0.010437723,0.067299294,0.775928976,0.010294228,0.796660927,0.203339073,1
ADPT,Adaptive Biotechnologies Corporation,USD,2835,-,"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases.",Pharmaceutical Preparation Manufacturing ,United States,WA,Seattle,CIK_0001478320,www.adaptivebiotech.com,569.38848,170.276,75.553,94.723,-179.15401,-201.606,0,371.882,-225.25,88.713,31.211,19.49,0,435.237,0,152.012,717.682,4.483,0,126.729,55.34,93.298,44.194,356.045,361.637,717.682,,1,0.443709037,0.556290963,-1.052138939,-1.183995396,0,2.183995396,-1.32285231,0.123610457,0.04348862,0.027156874,0,0.60644826,0,0.211809687,1,0.006246499,0,0.176580993,0.07710936,0.12999908,0.061578805,0.496104124,0.503895876,1
ARBB,ARB IOT Group Limited,USD,7373,-,"ARB IOT Group Limited, through its subsidiaries, provides Internet of Things (IoT) system solutions, and system integration and support services in Malaysia.",Computer Systems Design Services ,Malaysia,0,Kuala Lumpur,CIK_0001930179,www.arbiotgroup.com,54.36513,242.13225,192.21235,49.9199,40.15637,21.11001,0.01023,221.02225,25.83476,56.18361,67.46169,0,0,167.20673,0,111.86608,395.70366,7.20271,0,0,49.61687,58.37836,18.34865,76.86591,318.83776,395.70366,,1,0.79383209,0.20616791,0.165844781,0.087183801,4.22496E-05,0.91281624,0.106696898,0.141984054,0.170485383,0,0,0.422555429,0,0.282701656,1,0.018202283,0,0,0.125388959,0.147530503,0.046369675,0.194251198,0.805748827,1
ODT,"Odonate Therapeutics, Inc.",USD,2834,-,"Odonate, Inc., a pharmaceutical company, develops therapeutics for the treatment of cancer.",Pharmaceutical Preparation Manufacturing ,United States,NY,New York,CIK_0001717452,www.odonate.com,0,0,0,0,-80.183,-80.678,0.368,80.678,-102.066,95.028,0,0,0,99.582,0,5.423,105.773,11.661,0,0,16.133,30.297,0,34.402,71.371,105.773,,-,-,-,-,-,-,-,-,0.898414529,0,0,0,0.941468995,0,0.051270173,1,0.110245526,0,0,0.152524746,0.286434156,0,0.325243682,0.674756318,1
OEG,"Orbital Energy Group, Inc.",USD,1623,-,"Orbital Infrastructure Group, Inc. provides infrastructure services to customers in the electric power, telecommunications, and renewable industries.",Water and Sewer Line and Related Structures Construction ,United States,TX,Houston,CIK_0001108967,www.orbitalenergygroup.com,0,332.149,335.716,-3.567,-44.876,-75.013,-20.622,407.162,-258.751,23.993,68.738,1.857,3.321,104.544,0,44.486,268.213,49.318,0,1.276,17.343,407.101,1.701,427.716,-159.503,268.213,,1,1.010739156,-0.010739156,-0.135108039,-0.225841415,-0.062086594,1.225841415,-0.779020861,0.089455023,0.256281388,0.006923602,0.01238195,0.389779765,0,0.165860715,1,0.183876248,0,0.004757413,0.064661295,1.517827249,0.006341974,1.594687804,-0.594687804,1
AERI,"Aerie Pharmaceuticals, Inc.",USD,6726,-,0,Other Financial Vehicles ,Germany,0,Hamburg,0,www.aquila-european-renewables-income-fund.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GNSS,Genasys Inc.,USD,3651,-,Genasys Inc. provides critical communications hardware and software solutions worldwide.,Audio and Video Equipment Manufacturing,United States,CA,San Diego,CIK_0000924383,genasys.com,84.52006,40.537,22.128,18.409,-12.085,-14.729,0.087,55.266,-21.613,8.665,5.952,6.802,1.371,25.208,0,5.437,49.905,2.785,0,0,4.337,11.259,0.551,16.093,33.812,49.905,,1,0.545871673,0.454128327,-0.298122703,-0.363347066,0.002146187,1.363347066,-0.53316723,0.173629897,0.119266607,0.136298968,0.027472197,0.505119727,0,0.108946999,1,0.055806031,0,0,0.08690512,0.225608656,0.011040978,0.322472698,0.677527302,1
SCPS,Scopus BioPharma Inc.,USD,2836,-,"Scopus BioPharma Inc., a clinical-stage biopharmaceutical company, focuses on developing transformational therapeutics targeting serious diseases with unmet medical needs.",Biological Product (except Diagnostic) Manufacturing ,United States,NY,New York,CIK_0001772028,scopusbiopharma.com,0.39684,0,0,0,-9.34191,-9.34301,0,9.34301,-8.69582,0.3621,0,0,0,0.49585,0,0.0017,0.49755,0.17263,0,0,0.09318,11.0021,0,11.0021,-10.50454,0.49755,,-,-,-,-,-,-,-,-,0.727766054,0,0,0,0.996583258,0,0.003416742,1,0.346960105,0,0,0.187277661,22.1125515,0,22.1125515,-21.1125314,1
PRIM,Primoris Services Corporation,USD,1623,-,"Primoris Services Corporation, a specialty contractor company, provides a range of specialty construction, fabrication, maintenance, replacement, and engineering services in the United States and Canada.",Water and Sewer Line and Related Structures Construction ,United States,TX,Dallas,CIK_0001361538,www.prim.com,3021.89225,5528.898,4944.623,584.275,356.882,245.619,-1.016,5283.279,129.987,160.736,1565.147,0,36.111,1891.151,0,797.506,3803.171,500.093,0,1013.519,430.823,1297.935,72.385,2606.363,1196.808,3803.171,,1,0.894323426,0.105676574,0.064548487,0.044424585,-0.000183762,0.955575415,0.023510472,0.042263679,0.411537372,0,0.009494971,0.497256368,0,0.209695015,1,0.131493693,0,0.266493145,0.113279945,0.341277055,0.019032802,0.685313124,0.314686876,1
NEXI,"NexImmune, Inc.",USD,2836,-,"NexImmune, Inc., a clinical-stage biotechnology company, engages in developing therapies with curative potential for patients with cancer and other life-threatening immune-mediated diseases.",Biological Product (except Diagnostic) Manufacturing ,United States,MD,Gaithersburg,CIK_0001538210,www.neximmune.com,-6.04653,0,0,0,-43.79258,-44.85314,0.00108,44.85314,-43.87879,9.00021,0,0,0.67241,10.32022,0,4.24148,14.56169,0.73749,0,0,0,6.20468,0,6.30751,8.25419,14.56169,,-,-,-,-,-,-,-,-,0.61807455,0,0,0.046176646,0.708724056,0,0.291276631,1,0.050645907,0,0,0,0.426096147,0,0.433157827,0.56684286,1
NWLI,"National Western Life Group, Inc.",USD,6311,-,"National Western Life Group, Inc., through its subsidiary, National Western Life Insurance Company, operates as a stock life insurance company.",Direct Life Insurance Carriers ,United States,TX,Austin,CIK_0001635984,www.nwlgi.com,1436.27638,655.188,337.36,317.828,-0.876,-12.057,0,667.245,-21.47,320.74,0,0,1768.194,3100.271,0,0,12059.43,0,0,0,33.759,95.481,9719.447,9815.331,2244.099,12059.43,,1,0.514905645,0.485094355,-0.001337021,-0.018402352,0,1.018402352,-0.03276922,0.026596614,0,0,0.146623348,0.257082715,0,0,1,0,0,0,0.002799386,0.007917538,0.805962388,0.813913344,0.186086656,1
CRMD,CorMedix Inc.,USD,2836,-,"CorMedix Inc., a biopharmaceutical company, focuses on developing and commercializing therapeutic products for the prevention and treatment of infectious and inflammatory diseases in the United States and internationally.",Biological Product (except Diagnostic) Manufacturing ,United States,NJ,Berkeley Heights,CIK_0001410098,www.cormedix.com,120.12725,0.0297,0.00041,0.02929,-41.60367,-41.67827,0,41.70797,-39.79415,53.31381,0,0,1.33965,89.06238,0,2.26408,91.42912,2.38611,0,0,0,7.67088,0,8.2273,83.20182,91.42912,,1,0.013804714,0.986195286,-1400.79697,-1403.308754,0,1404.308754,-1339.87037,0.583116298,0,0,0.014652334,0.974113937,0,0.024763226,1,0.026097922,0,0,0,0.083899747,0,0.089985554,0.910014446,1
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",USD,6035,-,"Northfield Bancorp, Inc. (Staten Island, NY) operates as the bank holding company for Northfield Bank that provides various banking services primarily to individuals and corporate customers.",Savings Institutions and Other Depository Credit Intermediation ,United States,NJ,Woodbridge,"CIK_0001493225,CIK_0001401700",www.enorthfield.com,0,135.21,0,135.21,-,54.091,-2.331,81.119,37.669,80.556,0,0,18.305,116.88,0,55.561,5437.084,3668.513,0,934.216,0,3757.524,26.369,4753.009,684.075,5437.084,,1,0,1,-,0.400051771,-0.017239849,0.599948229,0.278596258,0.01481603,0,0,0.003366694,0.021496817,0,0.010218897,1,0.674720677,0,0.171822985,0,0.691091769,0.004849842,0.874183478,0.125816522,1
RETA,"Reata Pharmaceuticals, Inc.",USD,2836,-,"Reata Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, identifies, develops, and commercializes novel therapeutics for patients with serious or life-threatening diseases.",Biological Product (except Diagnostic) Manufacturing ,United States,TX,Plano,CIK_0001358762,www.reatapharma.com,0,23.48,204.15,-180.67,-340.538,-341.668,1.819,365.148,-87.623,48.843,22.662,2.942,0,401.849,0,89.901,502.587,19.86,0,73.13,18.242,125.093,126.656,415.296,87.291,502.587,,1,8.694633731,-7.694633731,-14.50332198,-14.55144804,0.077470187,15.55144804,-3.73181431,0.097183174,0.045090701,0.005853713,0,0.799561071,0,0.178876493,1,0.039515547,0,0.145507146,0.036296203,0.248898201,0.25200811,0.826316638,0.173683362,1
CCRN,"Cross Country Healthcare, Inc.",USD,7363,-,"Cross Country Healthcare, Inc. provides talent management and other consultative services for healthcare clients in the United States.",Temporary Help Services,United States,FL,Boca Raton,CIK_0001141103,www.crosscountryhealthcare.com,787.3362,2019.728,1569.318,450.41,134.957,117.11,-0.002,1902.618,72.631,14.301,410.373,0,2.73,445.229,0,28.89,707.739,114.797,0,0,8.579,183.578,51.46,238.078,469.661,707.739,,1,0.776994724,0.223005276,0.066819394,0.057983055,-9.90232E-07,0.942016945,0.035960783,0.020206602,0.579836635,0,0.003857354,0.629086429,0,0.040820133,1,0.16220245,0,0,0.0121217,0.259386582,0.07271042,0.336392371,0.663607629,1
CLGN,CollPlant Biotechnologies Ltd.,USD,2836,-,"CollPlant Biotechnologies Ltd., a regenerative and aesthetic medicine company, focuses on three-dimensional (3D) bioprinting of tissues and organs, and medical aesthetics in the United States, Canada, Israel, and Europe.",Biological Product (except Diagnostic) Manufacturing ,Israel,0,Rehovot,"CIK_0001690660,CIK_0001631487",www.collplant.com,47.29857,10.718,1.28,9.438,-6.008,-7.12,-0.01,17.838,-6.731,28.981,0.004,1.503,0.226,31.207,0,6.095,37.558,0.744,0,0,0,2.634,0,5.16,32.398,37.558,,1,0.119425266,0.880574734,-0.560552342,-0.664303042,-0.00093301,1.664303042,-0.628008957,0.771633207,0.000106502,0.040018105,0.00601736,0.830901539,0,0.162282337,1,0.019809362,0,0,0,0.07013153,0,0.137387507,0.862612493,1
GCBC,"Greene County Bancorp, Inc.",USD,6035,-,"Greene County Bancorp, Inc. operates as a holding company for The Bank of Greene County that provides various financial services in the United States.",Savings Institutions and Other Depository Credit Intermediation ,United States,NY,Catskill,CIK_0001070524,greenecountybancorp.q4ir.com,0,68.407,0,68.407,-,31.64,-1.264,36.767,26.727,130.253,0,0.302,13.761,164.578,0,17.391,2688.195,2420.481,0,49.542,0,2432.744,20,2504.027,184.168,2688.195,,1,0,1,-,0.462525765,-0.018477641,0.537474235,0.39070563,0.048453702,0,0.000112343,0.005119048,0.061222493,0,0.006469397,1,0.900411242,0,0.018429467,0,0.90497304,0.007439936,0.931490089,0.068509911,1
FBIO,"Fortress Biotech, Inc.",USD,2834,-,"Fortress Biotech, Inc., a biopharmaceutical company, develops and commercializes pharmaceutical and biotechnology products.",Pharmaceutical Preparation Manufacturing ,United States,FL,Bay Harbor Islands,CIK_0001429260,www.fortressbiotech.com,26.29848,61.971,155.479,-93.508,-186.364,-193.219,10.444,255.19,-78.306,72.307,7.989,11.024,0,97.826,0,24.361,150.549,44.731,0,45.791,11.258,97.351,1.706,163.792,-13.243,150.549,,1,2.508899324,-1.508899324,-3.007277598,-3.117893854,0.168530442,4.117893854,-1.263591035,0.48028881,0.053065779,0.073225329,0,0.649795083,0,0.161814426,1,0.29711921,0,0.304160107,0.07477964,0.646639964,0.011331859,1.087964716,-0.087964716,1
HFBL,"Home Federal Bancorp, Inc. of Louisiana",USD,6035,-,"Home Federal Bancorp, Inc. of Louisiana operates as the holding company for Home Federal Bank that provides various financial services to individuals, corporate entities, and other organizations.",Savings Institutions and Other Depository Credit Intermediation ,United States,LA,Shreveport,"CIK_0001500375,CIK_0001302901,CIK_0001429527",www.hfb.bank,0,22.41,0,22.41,-,6.019,-0.749,16.391,4.543,8.878,0,0.561,2.496,11.935,0,17.807,662.602,592.505,0,0,0,610.548,0.715,612.129,50.473,662.602,,1,0,1,-,0.268585453,-0.033422579,0.731414547,0.202721999,0.013398692,0,0.000846662,0.003766967,0.018012321,0,0.026874353,1,0.894209495,0,0,0,0.92144002,0.001079079,0.923826068,0.076173932,1
DGNS,Dragoneer Growth Opportunities Corp. II,USD,8071,-,PT Diagnos Laboratorium Utama Tbk provides health services using laboratories in Indonesia.,Medical Laboratories ,Indonesia,0,Jakarta Pusat,0,diagnos.co.id,321534.2662,156172.764,89889.58808,66283.17588,-409.83356,-11312.9243,1773.38462,167485.6883,-10145.63221,19695.36072,33499.41842,4858.78945,29425.15391,97337.53003,0,139416.1086,253679.6251,4180.58078,0,30000,1826.87918,11026.65273,9924.60992,53902.17058,199777.4545,253679.6251,,1,0.575577878,0.424422122,-0.002624232,-0.072438523,0.011355275,1.072438523,-0.064964159,0.077638717,0.132054036,0.019153251,0.115993367,0.383702593,0,0.549575507,1,0.016479766,0,0.118259399,0.007201521,0.043466844,0.039122613,0.212481277,0.787518723,1
DSWL,"Deswell Industries, Inc.",USD,3651,-,"Deswell Industries, Inc. manufactures and sells injection-molded plastic parts and components, electronic products and subassemblies, and metallic molds and accessory parts for original equipment manufacturers and contract manufacturers.",Audio and Video Equipment Manufacturing,Macau,0,Macau,CIK_0000946936,www.deswell.com,-8.37189,70.629,57.542,13.087,5.009,3.387,0.876,67.242,6.176,17.381,16.799,14.774,0,83.322,0,25.307,111.616,7.625,0,0,3.157,19.557,0.447,20.004,91.612,111.616,,1,0.81470784,0.18529216,0.070919877,0.047954806,0.012402837,0.952045194,0.087442835,0.155721402,0.150507096,0.132364536,0,0.746505877,0,0.226732726,1,0.068314579,0,0,0.028284475,0.175216815,0.004004802,0.179221617,0.820778383,1
