NAICS,LineItems,Value,Percent,ReportID,Industry
336320,Revenue,124434818.2,100%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,COGS,92455069.91,74%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,Gross Profit,31979748.27,26%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,Operating Expenses,23393745.82,19%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,Operating Profit,8586002.455,7%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,Other Expenses,746608.9091,1%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,Profit Before Taxes,7839393.545,6%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336320,EBITDA,12567916.64,10%,Income Statement,Motor Vehicle Electrical and Electronic Equipment Manufacturing
111110,Revenue,2784700,100%,Income Statement,Soybean Farming
111110,COGS,0,0%,Income Statement,Soybean Farming
111110,Gross Profit,2784700,100%,Income Statement,Soybean Farming
111110,Operating Expenses,2542431.1,91%,Income Statement,Soybean Farming
111110,Operating Profit,242268.9,9%,Income Statement,Soybean Farming
111110,Other Expenses,183790.2,7%,Income Statement,Soybean Farming
111110,Profit Before Taxes,58478.7,2%,Income Statement,Soybean Farming
111110,EBITDA,724022,26%,Income Statement,Soybean Farming
111110,Revenue,2784700,100%,Income Statement,Soybean Farming
111110,COGS,0,0%,Income Statement,Soybean Farming
111110,Gross Profit,2784700,100%,Income Statement,Soybean Farming
111110,Operating Expenses,2542431.1,91%,Income Statement,Soybean Farming
111110,Operating Profit,242268.9,9%,Income Statement,Soybean Farming
111110,Other Expenses,183790.2,7%,Income Statement,Soybean Farming
111110,Profit Before Taxes,58478.7,2%,Income Statement,Soybean Farming
111110,EBITDA,724022,26%,Income Statement,Soybean Farming
311710,Revenue,74047857.14,100%,Income Statement,Seafood Product Preparation and Packaging
311710,COGS,63236870,85%,Income Statement,Seafood Product Preparation and Packaging
311710,Gross Profit,10810987.14,15%,Income Statement,Seafood Product Preparation and Packaging
311710,Operating Expenses,9848365,13%,Income Statement,Seafood Product Preparation and Packaging
311710,Operating Profit,888574.2857,1%,Income Statement,Seafood Product Preparation and Packaging
311710,Other Expenses,-148095.7143,0%,Income Statement,Seafood Product Preparation and Packaging
311710,Profit Before Taxes,1036670,1%,Income Statement,Seafood Product Preparation and Packaging
311710,EBITDA,3035962.143,4%,Income Statement,Seafood Product Preparation and Packaging
311811,Revenue,1710818.182,100%,Income Statement,Retail Bakeries
311811,COGS,651821.7273,38%,Income Statement,Retail Bakeries
311811,Gross Profit,1058996.455,62%,Income Statement,Retail Bakeries
